,subj_idx,movie,movie_arousal,movie_valence
1,11,imageHL5,5.0,4.0
2,11,imageLH3,5.0,3.0
3,11,imageLL5,4.0,1.0
4,11,imageLL4,5.0,2.0
5,11,imageHL14,4.0,4.0
6,11,imageLH4,4.0,1.0
7,11,imageHH2,5.0,4.0
47,11,imageHL6,3.0,3.0
48,11,imageLL6,3.0,1.0
49,11,imageLH10,4.0,1.0
50,11,imageLL10,3.0,1.0
51,11,imageHH10,4.0,2.0
52,11,imageLH2,4.0,1.0
53,11,imageHL13,4.0,3.0
54,11,imageHH9,4.0,4.0
94,11,imageLL8,4.0,2.0
95,11,imageLL14,3.0,2.0
96,11,imageHL3,4.0,4.0
97,11,imageHH6,4.0,4.0
98,11,imageLH14,4.0,2.0
99,11,imageHH14,4.0,2.0
100,11,imageHL8,4.0,4.0
101,11,imageLH1,4.0,2.0
141,11,imageLL7,5.0,2.0
142,11,imageHH13,4.0,2.0
143,11,imageHH11,4.0,3.0
144,11,imageHL11,1.0,3.0
145,11,imageLL1,4.0,1.0
146,11,imageLH11,4.0,2.0
147,11,imageHL12,4.0,4.0
148,11,imageLH13,4.0,1.0
188,11,imageHH12,4.0,1.0
189,11,imageHH8,4.0,4.0
190,11,imageLH9,4.0,2.0
191,11,imageHL9,3.0,4.0
192,11,imageLL9,4.0,2.0
193,11,imageLL2,4.0,1.0
194,11,imageHL2,3.0,3.0
195,11,imageLH5,5.0,4.0
235,11,imageLL11,5.0,3.0
236,11,imageHH5,4.0,2.0
237,11,imageHH1,4.0,1.0
238,11,imageHL1,5.0,4.0
239,11,imageLL3,4.0,2.0
240,11,imageHL10,4.0,4.0
241,11,imageLH7,4.0,3.0
242,11,imageLH6,4.0,3.0
282,11,imageLL12,3.0,2.0
283,11,imageHH3,4.0,3.0
284,11,imageLL13,3.0,2.0
285,11,imageHH7,5.0,4.0
286,11,imageHL4,5.0,4.0
287,11,imageLH8,4.0,2.0
288,11,imageHL7,3.0,3.0
289,11,imageLH12,4.0,2.0
0,12,imageHH2,2.0,3.0
1,12,imageHH1,3.0,2.0
2,12,imageHL3,2.0,3.0
3,12,imageLH1,3.0,4.0
4,12,imageLH2,2.0,3.0
5,12,imageLL4,4.0,3.0
6,12,imageHL1,3.0,3.0
7,12,imageLL1,4.0,3.0
47,12,imageHH4,1.0,3.0
48,12,imageHH3,1.0,2.0
49,12,imageHL2,1.0,3.0
50,12,imageLH3,3.0,3.0
51,12,imageLL5,4.0,3.0
52,12,imageHL4,4.0,3.0
53,12,imageLH5,3.0,3.0
54,12,imageLL2,2.0,3.0
94,12,imageHL5,3.0,4.0
95,12,imageHH6,1.0,3.0
96,12,imageHH12,3.0,3.0
97,12,imageLL8,4.0,3.0
98,12,imageHL6,3.0,3.0
99,12,imageLH6,3.0,3.0
100,12,imageLH9,4.0,3.0
101,12,imageLL3,3.0,3.0
141,12,imageLH4,4.0,3.0
142,12,imageHL11,1.0,3.0
143,12,imageHH5,3.0,3.0
144,12,imageHL7,2.0,3.0
145,12,imageHH9,2.0,3.0
146,12,imageLH8,4.0,3.0
147,12,imageLL7,4.0,3.0
148,12,imageLL9,5.0,4.0
188,12,imageHL10,3.0,3.0
189,12,imageHH8,2.0,3.0
190,12,imageHL9,3.0,3.0
191,12,imageHH10,2.0,3.0
192,12,imageLH11,3.0,3.0
193,12,imageLL6,3.0,3.0
194,12,imageLL11,4.0,4.0
195,12,imageLH7,4.0,3.0
235,12,imageHL13,3.0,3.0
236,12,imageHH13,3.0,3.0
237,12,imageLH12,4.0,3.0
238,12,imageHH7,1.0,3.0
239,12,imageHL8,1.0,3.0
240,12,imageLH10,3.0,3.0
241,12,imageLL12,4.0,3.0
242,12,imageLL14,2.0,3.0
282,12,imageHL14,3.0,3.0
283,12,imageHH14,2.0,3.0
284,12,imageHH11,5.0,3.0
285,12,imageLH13,2.0,3.0
286,12,imageHL12,3.0,3.0
287,12,imageLL13,2.0,3.0
288,12,imageLL10,5.0,4.0
289,12,imageLH14,3.0,2.0
0,13,imageHL1,5.0,2.0
1,13,imageLL11,5.0,2.0
2,13,imageLL5,5.0,1.0
3,13,imageHH1,5.0,1.0
4,13,imageLH1,5.0,2.0
5,13,imageLH2,4.0,1.0
6,13,imageHL14,5.0,5.0
7,13,imageHH6,5.0,4.0
47,13,imageHH12,5.0,5.0
48,13,imageHH10,3.0,2.0
49,13,imageHL5,4.0,3.0
50,13,imageHL2,2.0,4.0
51,13,imageLH14,5.0,1.0
52,13,imageLH4,5.0,1.0
53,13,imageLL14,3.0,2.0
54,13,imageLL12,4.0,1.0
94,13,imageHL10,5.0,5.0
95,13,imageHL3,4.0,3.0
96,13,imageLL2,5.0,1.0
97,13,imageHH9,5.0,2.0
98,13,imageHH13,5.0,2.0
99,13,imageLH5,5.0,2.0
100,13,imageLL1,3.0,1.0
101,13,imageLH12,4.0,3.0
141,13,imageHL7,3.0,1.0
142,13,imageHH8,2.0,3.0
143,13,imageLH6,5.0,3.0
144,13,imageHH2,4.0,4.0
145,13,imageHL11,1.0,3.0
146,13,imageLL10,3.0,1.0
147,13,imageLH11,4.0,2.0
148,13,imageLL9,5.0,2.0
188,13,imageHL9,5.0,3.0
189,13,imageLH3,5.0,1.0
