,subj_idx,stim,rt,response,group,arousal,valence
10744,8,1V1A,3.9335,0,group2,2,3
10745,8,1V1A,2.2971,0,group2,3,4
10746,8,1V1A,1.7045,1,group2,3,4
10747,8,1V1A,1.9392,1,group2,3,4
10748,8,1V1A,1.455,1,group2,3,4
10749,8,1V1A,1.3265,1,group2,2,4
10750,8,1V1A,1.673,0,group2,2,4
10751,8,1V1A,0.7118,1,group2,2,4
10752,8,1V1A,1.2312,0,group2,2,4
14281,8,1Vne1A,1.7605,1,group2,3,4
14282,8,1Vne1A,1.8723,1,group2,3,4
14283,8,1Vne1A,1.377,0,group2,3,4
14284,8,1Vne1A,1.7534,1,group2,3,4
14285,8,1Vne1A,1.0261,0,group2,2,5
14286,8,1Vne1A,2.2723,1,group2,2,5
14287,8,1Vne1A,0.9734,1,group2,2,5
14288,8,1Vne1A,0.9843,0,group2,2,5
14289,8,1Vne1A,2.8731,1,group2,1,3
14290,8,1Vne1A,3.6638,0,group2,1,3
14291,8,1Vne1A,1.5253,1,group2,1,3
14292,8,1Vne1A,1.6431,0,group2,1,3
14293,8,1Vne1A,2.3172,1,group2,1,3
14294,8,1Vne1A,4.7138,0,group2,1,3
14295,8,1Vne1A,4.284,0,group2,1,3
14296,8,1Vne1A,1.5702,0,group2,1,3
14297,8,1Vne1A,2.2658,1,group2,2,3
14298,8,1Vne1A,1.1938,1,group2,2,3
14299,8,1Vne1A,3.3816,1,group2,2,3
14300,8,1Vne1A,4.4333,1,group2,2,3
14301,8,1Vne1A,2.0838,0,group2,3,4
14302,8,1Vne1A,4.902947003,1,group2,3,4
14303,8,1Vne1A,1.3982,1,group2,3,4
14304,8,1Vne1A,1.5423,0,group2,3,4
14305,8,1Vne1A,0.7434,0,group2,2,4
14306,8,1Vne1A,1.1069,1,group2,2,4
14307,8,1Vne1A,0.9582,1,group2,2,4
14308,8,1Vne1A,1.3354,0,group2,2,4
85,9,0V0A,7.376,0,group2,3,4
86,9,0V0A,12.538,0,group2,3,4
87,9,0V0A,5.927,0,group2,3,4
88,9,0V0A,7.4049,0,group2,3,4
89,9,0V0A,10.834,0,group2,2,3
90,9,0V0A,4.639,1,group2,2,3
91,9,0V0A,3.4939,0,group2,2,3
92,9,0V0A,9.765,0,group2,2,3
93,9,0V0A,3.566,1,group2,1,3
94,9,0V0A,6.422,1,group2,1,3
95,9,0V0A,2.403,1,group2,1,3
96,9,0V0A,4.432,1,group2,1,3
97,9,0V0A,4.6509,0,group2,1,4
98,9,0V0A,7.1799,1,group2,1,4
99,9,0V0A,7.57,1,group2,1,4
100,9,0V0A,3.563,0,group2,1,4
101,9,0V0A,8.2539,1,group2,1,3
102,9,0V0A,3.1309,1,group2,1,3
103,9,0V0A,2.2619,0,group2,1,3
104,9,0V0A,1.6329,0,group2,1,3
105,9,0V0A,14.75542631,0,group2,2,3
106,9,0V0A,3.318,0,group2,2,3
107,9,0V0A,2.4279,1,group2,2,3
108,9,0V0A,2.009,0,group2,2,3
109,9,0V0A,6.3299,1,group2,1,3
110,9,0V0A,14.043,0,group2,1,3
111,9,0V0A,8.199,1,group2,1,3
112,9,0V0A,2.592,0,group2,1,3
3641,9,0V1A,8.98,1,group2,3,4
3642,9,0V1A,5.533,1,group2,3,4
3643,9,0V1A,6.5689,0,group2,3,4
3644,9,0V1A,5.6319,0,group2,3,4
3645,9,0V1A,5.478,0,group2,2,3
3646,9,0V1A,5.1279,0,group2,2,3
3647,9,0V1A,3.65,1,group2,2,3
3648,9,0V1A,2.8109,1,group2,2,3
3649,9,0V1A,6.084,1,group2,1,3
3650,9,0V1A,6.8659,0,group2,1,3
3651,9,0V1A,6.3079,1,group2,1,3
3652,9,0V1A,2.3499,0,group2,1,3
3653,9,0V1A,12.903,0,group2,1,4
3654,9,0V1A,3.0149,0,group2,1,4
3655,9,0V1A,5.4909,0,group2,1,4
3656,9,0V1A,3.362,1,group2,1,4
3657,9,0V1A,3.316,0,group2,1,3
3658,9,0V1A,4.75,1,group2,1,3
3659,9,0V1A,2.3429,1,group2,1,3
3660,9,0V1A,3.0009,0,group2,1,3
3661,9,0V1A,5.931,1,group2,2,3
3662,9,0V1A,7.719,1,group2,2,3
3663,9,0V1A,2.094,0,group2,2,3
3664,9,0V1A,2.381,0,group2,2,3
3665,9,0V1A,5.518,1,group2,1,3
3666,9,0V1A,4.131,1,group2,1,3
3667,9,0V1A,4.672,0,group2,1,3
3668,9,0V1A,2.8569,0,group2,1,3
7197,9,1V0A,14.298,1,group2,3,4
7198,9,1V0A,2.9629,0,group2,3,4
7199,9,1V0A,12.982,1,group2,3,4
7200,9,1V0A,3.4329,0,group2,3,4
7201,9,1V0A,4.249,0,group2,2,3
7202,9,1V0A,14.75542631,0,group2,2,3
7203,9,1V0A,8.845,0,group2,2,3
7204,9,1V0A,9.0789,1,group2,2,3
7205,9,1V0A,7.8669,0,group2,1,3
7206,9,1V0A,2.935,0,group2,1,3
7207,9,1V0A,4.489,0,group2,1,3
7208,9,1V0A,3.5209,0,group2,1,3
7209,9,1V0A,5.721,0,group2,1,4
7210,9,1V0A,7.9619,0,group2,1,4
7211,9,1V0A,6.228,0,group2,1,4
7212,9,1V0A,3.8879,0,group2,1,4
7213,9,1V0A,4.7029,0,group2,1,3
7214,9,1V0A,4.33,0,group2,1,3
7215,9,1V0A,6.648,0,group2,1,3
7216,9,1V0A,3.315,0,group2,1,3
7217,9,1V0A,5.3469,0,group2,2,3
7218,9,1V0A,3.5109,0,group2,2,3
7219,9,1V0A,14.536,0,group2,2,3
7220,9,1V0A,2.036,0,group2,2,3
7221,9,1V0A,6.601,0,group2,1,3
7222,9,1V0A,6.043,0,group2,1,3
7223,9,1V0A,3.941,0,group2,1,3
7224,9,1V0A,3.291,0,group2,1,3
10753,9,1V1A,5.77,0,group2,3,4
10754,9,1V1A,3.72,0,group2,3,4
10755,9,1V1A,3.9569,0,group2,3,4
10756,9,1V1A,2.912,0,group2,3,4
10757,9,1V1A,3.7029,1,group2,2,3
10758,9,1V1A,4.749,0,group2,2,3
10759,9,1V1A,6.143,1,group2,2,3
10760,9,1V1A,8.7809,0,group2,2,3
10761,9,1V1A,7.507,1,group2,1,3
10762,9,1V1A,2.3289,0,group2,1,3
10763,9,1V1A,6.0609,0,group2,1,3
10764,9,1V1A,5.8779,0,group2,1,3
10765,9,1V1A,3.2769,0,group2,1,4
10766,9,1V1A,3.132,0,group2,1,4
10767,9,1V1A,4.26,0,group2,1,4
10768,9,1V1A,5.679,1,group2,1,4
10769,9,1V1A,3.53,0,group2,1,3
10770,9,1V1A,4.019,0,group2,1,3
10771,9,1V1A,6.7229,0,group2,1,3
10772,9,1V1A,3.59,0,group2,1,3
10773,9,1V1A,9.69,0,group2,2,3
10774,9,1V1A,3.398,0,group2,2,3
10775,9,1V1A,5.065,0,group2,2,3
10776,9,1V1A,2.192,0,group2,2,3
10777,9,1V1A,4.7829,0,group2,1,3
10778,9,1V1A,8.134,0,group2,1,3
10779,9,1V1A,4.521,0,group2,1,3
10780,9,1V1A,4.023,0,group2,1,3
14309,9,1Vne1A,4.543,0,group2,3,4
14310,9,1Vne1A,4.869,0,group2,3,4
14311,9,1Vne1A,5.7669,0,group2,3,4
14312,9,1Vne1A,3.461,0,group2,3,4
14313,9,1Vne1A,13.071,1,group2,2,3
14314,9,1Vne1A,5.854,0,group2,2,3
14315,9,1Vne1A,8.846,0,group2,2,3
14316,9,1Vne1A,3.004,0,group2,2,3
14317,9,1Vne1A,6.341,0,group2,1,3
14318,9,1Vne1A,5.902,0,group2,1,3
14319,9,1Vne1A,3.709,0,group2,1,3
14320,9,1Vne1A,10.928,0,group2,1,3
14321,9,1Vne1A,6.062,0,group2,1,4
14322,9,1Vne1A,4.5169,0,group2,1,4
14323,9,1Vne1A,11.778,0,group2,1,4
14324,9,1Vne1A,2.8139,0,group2,1,4
14325,9,1Vne1A,8.6659,0,group2,1,3
14326,9,1Vne1A,3.9229,0,group2,1,3
14327,9,1Vne1A,3.176,0,group2,1,3
14328,9,1Vne1A,3.4609,0,group2,1,3
14329,9,1Vne1A,11.587,0,group2,2,3
14330,9,1Vne1A,4.6369,0,group2,2,3
14331,9,1Vne1A,3.238,0,group2,2,3
14332,9,1Vne1A,3.0249,0,group2,2,3
14333,9,1Vne1A,7.967,0,group2,1,3
14334,9,1Vne1A,3.3139,0,group2,1,3
14335,9,1Vne1A,3.642,0,group2,1,3
14336,9,1Vne1A,3.3409,0,group2,1,3
113,10,0V0A,8.3359,1,group3,5,1
114,10,0V0A,3.9004,1,group3,5,1
115,10,0V0A,5.7014,1,group3,5,1
116,10,0V0A,4.1656,1,group3,5,1
117,10,0V0A,5.2685,0,group3,5,1
118,10,0V0A,5.8108,1,group3,5,1
119,10,0V0A,3.2036,0,group3,5,1
120,10,0V0A,3.9027,0,group3,5,1
121,10,0V0A,2.4211,0,group3,5,1
122,10,0V0A,2.1973,0,group3,5,1
123,10,0V0A,0.3384,0,group3,5,1
124,10,0V0A,5.4351,1,group3,5,1
125,10,0V0A,3.6998,1,group3,4,2
126,10,0V0A,3.6854,0,group3,4,2
127,10,0V0A,4.0305,1,group3,4,2
128,10,0V0A,0.2538,1,group3,4,2
129,10,0V0A,5.1022,1,group3,5,3
130,10,0V0A,2.5476,1,group3,5,3
